,created_at,likes,retweets,source,text
46,2019-10-27 11:12:41,22274.0,4036.0,Twitter for iPhone,"While interacting with our soldiers, I thanked them on behalf of the people of India for their monumental service.… https://t.co/5H22h9DAFP"
47,2019-10-27 11:09:06,47056.0,7217.0,Twitter for iPhone,"Celebrated #Diwali with the brave soldiers of the Indian Army in Rajouri, Jammu and Kashmir. 

It is always a matte… https://t.co/AYVYG9k6qz"
48,2019-10-27 09:52:16,20421.0,2682.0,Twitter for iPhone,"Congratulations to @mlkhattar Ji and @Dchautala on taking oath as CM and Deputy CM of Haryana. 

Best wishes to the… https://t.co/tZSYAtr7zV"
49,2019-10-27 09:19:00,15780.0,2835.0,Twitter Media Studio,"I can’t ever forget the day the Allahabad High Court delivered the Shri Ram Janmabhoomi verdict in 2010. 

The way… https://t.co/j737ZgAUHe"
50,2019-10-27 09:17:38,9176.0,1768.0,Twitter Media Studio,"On the 31st of October, India will once again run for unity. 

I call upon all of you, especially my young friends… https://t.co/AByeeVMeTW"
51,2019-10-27 09:16:49,10170.0,1859.0,Twitter Media Studio,"This year, the ‘Statue of Unity’ completes a year. A tribute to Sardar Patel, it is also emerging as one of the wor… https://t.co/cLYjhdXFxL"
52,2019-10-27 09:14:07,8999.0,1827.0,Twitter Media Studio,"Two interesting anecdotes from Sardar Patel’s life:

His role in ensuring Lakshadweep remains an integral part of I… https://t.co/FTiydfKDO0"
53,2019-10-27 09:11:48,8188.0,1617.0,Twitter Media Studio,"During #MannKiBaat today, we paid tributes to Sri Guru Nanak Dev Ji. His thoughts give strength to millions across… https://t.co/Ch36ExTg0b"
54,2019-10-27 09:11:07,7356.0,1467.0,Twitter Media Studio,"Let us keep celebrating #BharatKiLaxmi. 

In the classroom and sports,

In spheres of art, music and culture,

In b… https://t.co/1aV5MxtmjQ"
55,2019-10-27 05:29:53,24000.0,4236.0,Periscope,Hope you’re having a great #Diwali. Join today’s #MannKiBaat. https://t.co/CScutFXYyW
56,2019-10-27 04:02:26,28005.0,3604.0,Twitter for iPhone,"On Infantry Day, greetings to our valorous infantrymen. Our infantry personifies diligence and bravery. Every India… https://t.co/jfdJBwMUZF"
57,2019-10-27 02:21:17,49392.0,8408.0,Twitter for iPhone,देशवासियों को दीपावली के पावन अवसर पर बहुत-बहुत शुभकामनाएं। रोशनी का यह उत्सव हम सभी के जीवन में नया प्रकाश लेकर आए… https://t.co/UvicIHJsob
58,2019-10-26 15:04:11,19183.0,2604.0,Twitter for iPhone,Do join tomorrow at 11 AM. #MannKiBaat. https://t.co/7fk7bBX8bL
59,2019-10-26 15:03:42,12345.0,1835.0,Twitter for iPhone,"Attended the 5th edition of the  #NITILecture series. 

Heard the insightful views of Mr. @DavidMalpassWBG, Preside… https://t.co/fUPaqRVn1K"
60,2019-10-25 14:37:27,15614.0,2843.0,Twitter Web App,"Lovely video.

When my good friend and the PM of Australia @ScottMorrisonMP personally invites, I am sure many more… https://t.co/yFOrZxTOKN"
61,2019-10-25 14:32:15,2681.0,543.0,Twitter Web App,ངའི༌རྒྱ༌གར༌གྱི༌འཛོམ༌ར༌གོང༌འོག༌གི༌གྲོས༌ཐག༌བཅད༌མཁན༌ལ༌ཐུགས༌རྗེ༌ཆེ༌ ཞུའིན༎ཀ༌བའི༌ཞས༌ཏེ༌ཇམ༌མུ༌ཁ༌ཆུལ༌དང༌ལ༌དྭགས༌ནས༌ན༌གཞོན༌… https://t.co/ZvDBXZRXCF
62,2019-10-25 14:32:15,2682.0,534.0,Twitter Web App,འདི༌ལོ༌ཨ༌གསྟ༌ནང༌འཛོམ༌ར༌གོང༌ཡོག༌གཉིས༌ཀའི༌ཐག༌ཆད༌ལེན༌མཁན༌བོ༌ལ༌བདེན༌པ ༌དཔལ༌རྔམ༌ཚོར༌བྱས༌དང༌ཇམ༌མུ༌ཁ༌ཆུལ༌དང༌ལ༌དྭགས༌ཀྱི༌མི༌… https://t.co/MkHSVWffRB
63,2019-10-25 14:32:14,586.0,148.0,Twitter Web App,ངའི༌ཇམ༌མུ༌ཁ༌ཆུལ༌དང༌ལ༌དྭགས༌ཀྱི༌རྒྱལ༌ཁ༌ལེན༌མཁན༌འཐུས༌མི༌ཀུན༌ལ༌བཀྲ༌ཤིས༌བདེ༌ལེགས༌ཞུའིན༎ འདི༌ནང༌ནས༌ན༌གཞོན༌འགོ༌སྐྱོང༌མང༌པོ… https://t.co/T0UD0lzhRW
64,2019-10-25 14:32:14,532.0,151.0,Twitter Web App,ང༌མང༌སྟེའང༌འཐད༌པོ༌འབྱུང༌།BDC འདེམ༌བསྐོ༌བོ༌ཇམ༌མུ༌ཁ༌ཆུལ༌དང༌ལ༌དྭགས༌ནང༌ཞི༌བདེ༌ཚུལ༌ལ༌སོང༌། གང༌དུ༌ཡང༌གནས༌ལུགས༌ཟུར༌པོ༌ཡི༌ག… https://t.co/yp6SNJrRAp
65,2019-10-25 14:32:13,570.0,159.0,Twitter Web App,"BDC འདེམ༌བསྐོ༌འདི༌ཟླ༌བའི༌ཚེས༌24  ཞག༌ལ༌སོང༌ནས༌ཡིན།
ཀ༌ནང༌དུ༌ལོ༌རྒྱུས༌ནང༌དུ༌དཔེ༌ལུས༌བྱས༌ཀྱི༌རྒྱ༌ཐོག༌ནང༌དགུ༌བཅུ༌གོ༌དགུ༌… https://t.co/RAz315lilo"
66,2019-10-25 14:32:13,6180.0,961.0,Twitter Web App,གནས༌ཚུལ༌ཀ༌བོ༌ལ༌རྒྱ༌གར༌ཡོངས༌ཀྱི༌མི༌མང༌ཀུན༌གྱིས༌དཔལ༌རྔམ༌དང༌མཉམ༌པོ༌དངོས༌ལེན༌མཛད༌ཀྱིན༌ཡིན༌ནོ༎1947 ནས ད༌བར༌འགོ༌མ༌རང༌ཇམ༌… https://t.co/Yeij3JCeD3
67,2019-10-25 14:31:26,2648.0,520.0,Twitter Web App,میں جموں و کشمیر کے سلسلے میں ایک مرتبہ پھر پارٹی لائن سے ہٹ کر تمام اراکین پارلیمنٹ کو ان کے اس تاریخی فیصلے کے لئے مبارکباد پیش کرتا ہوں۔
68,2019-10-25 14:31:25,3091.0,580.0,Twitter Web App,بھارت کی پارلیمنٹ کے ذریعہ لیے گئے اس فیصلے کے طفیل نوجوان اور توانائی سے بھرپور نمائندگان جموں و کشمیر کے پورے خطے… https://t.co/Prsajy7GX6
69,2019-10-25 14:30:46,4668.0,933.0,Twitter Web App,"भारतीय संसद दे फैसले लेई, ओदा धन्नवाद, नौजवान ते ऊर्जावान प्रतिनिधी, जम्मू-कशमीर दे सब्बनें इलाकें च विकास च तेजी… https://t.co/88v4fiwKq3"
70,2019-10-25 14:30:46,4618.0,932.0,Twitter Web App,"भारत दी संसद गी, इस बरै अगस्त च लैते दे अपने ऐतिहासिक फैसले पर गर्व ऐ, जेहदे कन्नै जम्मू-कश्मीर दे लोक अपने लोकतां… https://t.co/3V20jJvan8"
71,2019-10-25 14:30:46,1181.0,311.0,Twitter Web App,"मैं उनें सब्बने गी मुबारकबाद दिन्ना, जिनें जम्मू, कशमीर, लेह ते लद्दाख च BDC चुवाव च जित्त हासिल कीती, एहदे कन्नै,… https://t.co/YWGxE0WO4z"
72,2019-10-25 14:30:45,1273.0,332.0,Twitter Web App,"मिगी एह दस्सने च बडी खुशी ऐ जे जम्मू, कश्मीर, लेह ते लद्दाख च BDC चुनाव बड़े शांतिपूर्ण ढंगै कन्नै सम्पन्न होए। कोई… https://t.co/I4aZL63jLc"
73,2019-10-25 14:30:45,15648.0,2443.0,Twitter Web App,"खबर, जेहडी हर इक भारत वासी लेई गर्व करने आली ऐ 1947 दे बाद पैहली बारी, 24 अक्तूबर गी जम्मू, कश्मीर, लेह ते लद्दाख च… https://t.co/Ts0Vo3Flrv"
74,2019-10-25 14:29:52,842.0,212.0,Twitter Web App,میں ان تمام افراد کو مبارکباد دیتا ہوں جو جموں، کشمیر، لیہہ اور لداخ بھر میں بلاک ترقیاتی کونسل انتخابات میں فتحیاب… https://t.co/WGiK6BqXsy
75,2019-10-25 14:29:52,763.0,200.0,Twitter Web App,اس سے اس امر کا ظاہر ہوتا ہے کہ عوام جمہوریت میں پختہ یقین رکھتے ہیں ساتھ ہی ساتھ یہ بھی ظاہر ہوتا ہے کہ وہ بنیادی… https://t.co/WWIPn4a8dG
76,2019-10-25 14:29:52,708.0,181.0,Twitter Web App,مجھے یہ ساجھا کرتے ہوئے از حد خوشی ہورہی ہے کہ جموں ، کشمیر، لیہہ ، لداخ میں بلاک ترقیاتی کونسل انتخابات ازحد پر ام… https://t.co/198fCglkGa
77,2019-10-25 14:29:51,766.0,176.0,Twitter Web App,310 بلاکوں میں 1080 سے زائد امیدواران میدان انتخاب میں تھے۔
78,2019-10-25 14:29:51,9721.0,1366.0,Twitter Web App,یہ خبر ہر ہندوستانی کے لئے باعث فخر ہے! 1947 سے لے کر اب تک کی مدت میں پہلی مرتبہ جموں ، کشمیر، لیہہ اور لداخ میں 2… https://t.co/qg2Q6n57ii
79,2019-10-25 14:08:21,24029.0,3555.0,Twitter Web App,"Let us make this Diwali about lighting the lamp of happiness in the lives of others.

Let us make this… https://t.co/iIZ3gYt5x0"
80,2019-10-25 12:05:06,67908.0,7890.0,Twitter for iPhone,"धनतेरस के शुभ अवसर पर समस्त देशवासियों को हार्दिक बधाई।

Greetings on the special occasion of Dhanteras."
81,2019-10-25 08:18:43,11688.0,1756.0,Twitter for iPhone,Dilipbhai Parikh made a mark in the world of industry and public service. He worked for the people of Gujarat with… https://t.co/Ow3BCzRWtV
82,2019-10-25 07:00:51,6632.0,1504.0,Twitter Web App,"Thanks to the decisions of the Indian Parliament, young and dynamic representatives will shape the destiny of the p… https://t.co/PoBC9x4A8m"
83,2019-10-25 07:00:50,14115.0,2627.0,Twitter Web App,"It would make India’s Parliament proud that due to their historic decision in August this year, the people of J&amp;K h… https://t.co/nJKyysjMCj"
84,2019-10-25 06:59:53,12755.0,2241.0,Twitter Web App,"I congratulate all those who have emerged victorious in the BDC polls across Jammu, Kashmir, Leh and Ladakh. 

This… https://t.co/sH0AwsPF4K"
85,2019-10-25 06:59:10,16393.0,2897.0,Twitter Web App,"I am delighted to share that the BDC polls in Jammu, Kashmir, Leh and Ladakh were conducted in a very peaceful mann… https://t.co/CzIsjiXibA"
86,2019-10-25 06:58:39,36915.0,7144.0,Twitter Web App,"News that would make every Indian proud! 

For the first time since 1947, Block Development Council elections were… https://t.co/WRdqhwEwWM"
87,2019-10-24 14:04:29,14992.0,2920.0,Periscope,"At the BJP HQ, addressing Party Karyakartas. https://t.co/CDPzz8RUwR"
88,2019-10-24 13:01:23,38842.0,5523.0,Twitter Web App,People of Maharashtra have blessed the NDA with immense affection. We are humbled to have got the people’s support… https://t.co/6sfsVjZyyS
89,2019-10-24 13:00:26,28625.0,4398.0,Twitter Web App,I thank the people of Haryana for blessing us. We will continue to work with the same zeal and dedication for the s… https://t.co/SJQ5crW2va
90,2019-10-24 11:12:48,13059.0,2609.0,Periscope,Interacting with BJP Karyakartas from Varanasi. Watch. https://t.co/QtyQxqXp1P
91,2019-10-24 11:10:25,23666.0,2660.0,Twitter Web App,I will be addressing @BJP4India Karyakartas from Varanasi in a short while from now. Do watch.
92,2019-10-23 14:56:55,24607.0,2736.0,Twitter Web App,Congratulations to President Kais Saied on being sworn-in as the President of the Republic of Tunisia. I look forwa… https://t.co/TXOpK7K8Vo
93,2019-10-22 14:35:36,63207.0,8170.0,Twitter Web App,"Moments with Mr. Kissinger, former Prime Ministers Tony Blair and John Howard, Ms. Condoleezza Rice and Mr. Robert… https://t.co/hzlIWy5ZNZ"
94,2019-10-22 14:34:05,20510.0,2648.0,Twitter Web App,Great discussions with former British PM Tony Blair. He has made a long lasting contribution to his nation and has… https://t.co/qEI1z7nx2d
95,2019-10-22 14:32:41,26952.0,3177.0,Twitter Web App,Glad to have met Dr. Henry Kissinger. He has made pioneering contributions to international politics and diplomacy. https://t.co/fhLFfi9i5U
96,2019-10-22 14:31:49,14790.0,2566.0,Twitter Web App,"Very good interaction with the JP Morgan International Council, an illustrious gathering of top policy makers, thin… https://t.co/CB6ZiNRp2y"
97,2019-10-22 13:21:13,32272.0,3592.0,Twitter Web App,"Congratulations @JustinTrudeau! 

India and Canada are connected by shared values and a strong commitment to democr… https://t.co/AqjhVKotH2"
98,2019-10-22 06:35:10,58183.0,7042.0,Twitter Web App,Excellent meeting with Nobel Laureate Abhijit Banerjee. His passion towards human empowerment is clearly visible. W… https://t.co/pJfEv6sEr5
